entity,source_or_target,entity_type,initial_matching,lexical_matching,graphical_matching
cmt:Meta-Reviewer,Source,Class,meta reviewer,"In the context of a research conference, a Meta-Reviewer refers to a special type of reviewer who is responsible for reviewing and evaluating the reviews submitted by other reviewers for a particular paper. The Meta-Reviewer's role is to ensure that the reviews are of high quality and consistent in their assessment of the paper. They have the authority to provide their own review based on their analysis of the existing reviews. The use of Meta-Reviewers is optional and must be decided before the paper assignment process takes place.","The verbalised sentence is ""The Meta-Reviewer is a class in the CMT ontology."" The verbalised sentence is ""Meta-Reviewer is a subclass of Reviewer."" "
cmt:Reviewer,Source,Class,reviewer,"In the context of a research conference, a reviewer refers to an individual who evaluates and assesses the quality, relevance, and validity of research papers or proposals submitted for presentation at the conference. Reviewers are typically experts in the field and are responsible for providing constructive feedback, suggestions, and recommendations to the authors. Their role is crucial in ensuring the selection of high-quality research work for presentation and publication.","The verbalised sentence is ""The reviewer is a class in the CMT ontology."" The verbalised sentence is ""A reviewer in the CMT ontology is disjoint with an author who is not a reviewer in the CMT ontology."" The verbalised sentence is ""A reviewer in the CMT ontology is disjoint with an external reviewer in the CMT ontology."" The verbalised sentence is ""A Reviewer is a subclass of Conference Member."" The verbalised sentence is ""A Reviewer is a subclass of User in the CMT ontology."" "
cmt:Decision,Source,Class,decision,"In the context of a research conference, the term ""decision"" typically refers to the process of selecting or choosing which research papers or presentations will be accepted for inclusion in the conference program. This decision is usually made by a committee or panel of experts who review the submitted abstracts or full papers and evaluate their quality, relevance, and contribution to the field of research. The decision-making process may involve assessing the scientific rigor, novelty, methodology, and significance of the research, among other criteria. The decisions made by the conference organizers determine which research works will be presented and shared with the conference attendees.","The verbalised sentence is ""The class Decision in the CMT ontology is of type owl:Class."" The verbalised sentence is ""A decision in the CMT ontology is disjoint with a person in the CMT ontology."" The verbalised sentence is ""The concept of Decision in the CMT ontology is disjoint with the concept of Document in the CMT ontology."" The verbalised sentence is ""The concept of Decision in the CMT ontology is disjoint with the concept of Preference in the CMT ontology."" The verbalised sentence is ""The concept of Decision in the CMT ontology is disjoint with the concept of Program Committee in the CMT ontology."" The verbalised sentence is ""The concept of Decision in the CMT ontology is disjoint with the concept of Bid in the CMT ontology."" The verbalised sentence is ""The concept of Decision in the CMT ontology is disjoint with the concept of Conference in the CMT ontology."" "
cmt:Person,Source,Class,person,"In the context of a research conference, the term ""Person"" typically refers to an individual who is attending or participating in the conference. This can include researchers, scientists, academics, students, industry professionals, and other individuals who are involved in the field of study being discussed at the conference.","The verbalised sentence is ""A person in the CMT ontology is a class."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a preference in the CMT ontology."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a program committee in the CMT ontology."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a bid in the CMT ontology."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a conference in the CMT ontology."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a decision in the CMT ontology."" The verbalised sentence is ""A person in the CMT ontology is disjoint with a document in the CMT ontology."" "
cmt:Document,Source,Class,document,"In the context of a research conference, a document refers to a written or digital record that contains information related to the research being presented or discussed. It can include research papers, abstracts, posters, presentations, or any other form of written or visual material that conveys the findings, methodology, or background of a research study. Documents are typically shared and distributed among conference attendees to facilitate the exchange of knowledge and promote further discussion and collaboration.","The verbalised sentence is ""The class Document in the CMT ontology is of type owl:Class."" The verbalised sentence is ""A document is disjoint with a bid in the CMT ontology."" The verbalised sentence is ""The class Document in the CMT ontology is disjoint with the class Decision in the CMT ontology."" The verbalised sentence is ""The Document in the CMT ontology is disjoint with the ProgramCommittee in the CMT ontology."" The verbalised sentence is ""A document is disjoint with a conference in the CMT ontology."" The verbalised sentence is ""A document is disjoint with a person in the CMT ontology."" The verbalised sentence is ""The class Document in the CMT ontology is disjoint with the class Preference in the CMT ontology."" "
cmt:Preference,Source,Class,preference,"In the context of a research conference, preference refers to the act of expressing a choice or liking for a particular topic, approach, methodology, or presentation style. It represents the individual's subjective inclination towards a specific aspect of the research being presented or discussed. Preferences can vary among conference attendees based on their personal interests, expertise, or relevance to their own research work.","The verbalised sentence is ""The class Preference in the CMT ontology is of type owl:Class."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the program committee in the CMT ontology."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the person in the CMT ontology."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the decision in the CMT ontology."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the document in the CMT ontology."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the conference in the CMT ontology."" The verbalised sentence is ""The preference in the CMT ontology is disjoint with the bid in the CMT ontology."" "
cmt:ProgramCommittee,Source,Class,program committee,"In the context of a research conference, a Program Committee refers to a group of individuals responsible for reviewing and selecting research papers or proposals to be presented at the conference. The committee is typically composed of experts and researchers in the relevant field who evaluate the quality, relevance, and significance of the submitted work. They play a crucial role in ensuring the scientific rigor and integrity of the conference by reviewing the submissions, providing feedback to authors, and making final decisions on acceptance or rejection. The Program Committee's main objective is to curate a high-quality program that showcases the latest advancements and contributions in the field.","The verbalised sentence is ""The Program Committee is a class in the CMT ontology."" The verbalised sentence is ""The Program Committee in the CMT ontology is disjoint with the Person in the CMT ontology."" The verbalised sentence is ""The Program Committee of CMT is disjoint with the Conference of CMT."" The verbalised sentence is ""The Program Committee of CMT is disjoint with the Preference of CMT."" The verbalised sentence is ""The Program Committee of CMT is disjoint with the Decision of CMT."" The verbalised sentence is ""The Program Committee of CMT is disjoint with the Bid of CMT."" The verbalised sentence is ""The Program Committee is disjoint with the Document in the CMT ontology."" "
cmt:Bid,Source,Class,bid,"In the context of a research conference, the term ""bid"" typically refers to the process of submitting a proposal or application to host the conference in a particular location. It involves presenting a formal bid to the conference organizers, outlining the proposed venue, facilities, and other relevant details. The bid is usually evaluated by the conference committee, who then select the most suitable location to host the event.","The verbalised sentence is ""The class 'Bid' from the CMT ontology is of type 'owl:Class'."" The verbalised sentence is ""A bid in the CMT ontology is disjoint with a document in the CMT ontology."" The verbalised sentence is ""The class 'Bid' in the CMT ontology is disjoint with the class 'Preference' in the CMT ontology."" The verbalised sentence is ""The class 'Bid' in the CMT ontology is disjoint with the class 'ProgramCommittee' in the CMT ontology."" The verbalised sentence is ""Bids in the CMT ontology are disjoint with conferences in the CMT ontology."" The verbalised sentence is ""The class 'Bid' in the CMT ontology is disjoint with the class 'Decision' in the CMT ontology."" The verbalised sentence is ""A bid in the CMT ontology is disjoint with a person in the CMT ontology."" "
cmt:Conference,Source,Class,conference,"In the context of a research conference, the term ""conference"" refers to a gathering or meeting of researchers, scholars, experts, and professionals from a particular field or discipline. It is a platform where individuals come together to present and discuss their research findings, share knowledge, exchange ideas, and engage in academic discussions. Conferences often include keynote speeches, paper presentations, panel discussions, workshops, and networking opportunities. They serve as a means to disseminate research, foster collaboration, and advance the understanding and development of a specific subject area.","The verbalised sentence is ""The class Conference is a type of owl:Class in the CMT ontology."" The verbalised sentence is ""The concept of Conference in the CMT ontology is disjoint with the concept of Preference in the CMT ontology."" The Conference ontology and the Decision ontology are not related. The verbalised sentence is ""The concept of Conference is disjoint with the concept of Person in the CMT ontology."" The Conference ontology and the Bid ontology are not related to each other. The Conference ontology and the ProgramCommittee ontology are not related. The verbalised sentence is ""The concept of Conference in the CMT ontology is disjoint with the concept of Document in the CMT ontology."" The verbalised sentence is ""The class Conference is a subclass of the class Thing."" "
cmt:ConferenceChair,Source,Class,conference chair,"In the context of a research conference, the term ""ConferenceChair"" refers to the individual who is responsible for organizing and overseeing the conference. The Conference Chair is typically a senior researcher or academic who takes on the role of leading the conference committee, coordinating various aspects of the event, such as selecting the program, inviting speakers, managing logistics, and ensuring the smooth running of the conference. They play a crucial role in setting the overall vision and goals of the conference and ensuring its success.","The verbalised sentence is ""The Conference Chair is a class in the CMT ontology."" The verbalised sentence is ""A Conference Chair is a subclass of Conference Member."" The verbalised sentence is ""The Conference Chair is disjoint with the Associated Chair in the CMT ontology."" "
